manual,pagina,arquivo_imagem,texto_extraido
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,353,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_353.png,"Informagées adicionais
Céd. de vendas: 6XD999025 (Ar-condicionado duplo PDI)

Procedimento para

montagem em campo Conexao da fiagdo e_ tubulagao

sob a unidade de_ ar-condicionado
No. 1730 duplo _(Especificagdo PDI)

Descrigao da operagao:
Conecte a tubulagao e a fiagao sob a unidade de ar-condicionado duplo.

&RQHFWH&1$)/ — =
‘
&RQHFWH&1$)/
~—=
—— — —
No. da pega Denominagao da pega _ | Qtde. Condigao (numero da lista de pegas)
(1) | 04434-53211 GRAMPO. 1 Instalado temporariamente na tampa do condensador do ar-condicionado
(2) | 07095-20522 | COXIM 1 Instalado temporariamente na tampa do condensador do ar-condicionado
(3) | 01024-81020 | PARAFUSO, SEMS 1 Instalado temporariamente na tampa do condensador do ar-condicionado
(4) | 198-61-14180 | GRAMPO 1 Instalado temporariamente na tampa do condensador do ar-condicionado
(5) | 01024-81020 | PARAFUSO, SEMS 1 Instalado temporariamente na tampa do condensador do ar-condicionado
Precaucgdes Ferramentas especiais Equipamento utilizado
Modelo Qtde. Modelo Unidades

293

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,354,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_354.png,"Informagées adicionais
Cod. de vendas: 6XD999025 (Ar-condicionado duplo PDI)

Procedimento para

montagem em campo _| Conexado da mangueira de dreno do ar-condicionado
No. 1740 duplo (EspecificagaoPDI)

294
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,355,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_355.png,"Descrigao da operagao:
Conecte a mangueira de dreno do ar-condicionado duplo.

No. da pega Penommasae da Qtde. Condigao (numero da lista de pegas)
(1) 07281-00197 | BRAGADEIRA 2 Instalado temporariamente na mangueira
do dreno

5) 1P“ NJP

J eee a

Precaugdes Ferramentas especiais Equipamento utilizado

Modelo Qtde. Modelo Unidades

295
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,356,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_356.png,"Informag6es adicionais

Procedimento para
montagem em campo

Instalagao do anteparo (especificagdo do

tipo de embalagem  pararemessa por

No. 1790 transporte terrestre)
Descricao da operacao: ee. ye a
is

7

Saal

| No, da pega Denominagao da pega | Qtde. | Condigao (numero da lista de pegas) ]

CONJUNTO SUB DA 1
TAMPA DIANTEIRA

(1) | 42C-54-16030 Envio da unidade (No. W12-6-1790)

Instalado temporariamente no suporte
(2) {01024-81225 | PARAFUSO, SEMS 8 | do capado motor po

Instalado temporariamente no chassi

(3) | 01024-81220 | PARAFUSO, SEMS 4 trasei
raseiro

To
i Ul
Tory We é

Instale do anteparo.

Precaugdes Ferramentas especiais Equipamento utilizado

Modelo Qtde. Modelo Unidades

296
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,357,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_357.png,"Guindaste: 50 t 1

Informag6es adicionais

Procedimento para
montagem em campo

No. 1800

Instalagao do suporte do capddo motor
(1)
(especificagaodo tipo de embalagem para
remessa por transporte terrestre)

297

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,358,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_358.png,"Descrigao da operacao:
Instale o suporte do cap6 do motor.

No. da pega Denominagao da pega Qtde. Condigao (numero da lista de pegas)
(1) | 42C-54-1638A SUPORTE, ESQ. 1 Envio da unidade (No. W12-6-1800)
(2) | 42C-54-1639A SUPORTE, DIR. 1 Envio da unidade (No. W12-6-1800)
(3) | 42C-54-1125A SUPORTE, ESQ. 1 Envio da unidade (No. W12-6-1800)
(4) | 42C-54-1225A SUPORTE, DIR. 1 Envio da unidade (No. W12-6-1800)
(5) | 42C-54-1126A SUPORTE, ESQ. 1 Envio da unidade (No. W12-6-1800)
(6) | 42C-54-1118A SUPORTE, DIR. 1 Envio da unidade (No. W12-6-1800)
(7) | 01010-81640 PARAFUSO. 24 | Instalado temporariamente no chassi traseiro
(8) | 01643-31645 ARRUELA 24 | Instalado temporariamente no chassi traseiro
(9) | 426-09-11410. CALCO 36 | Envio da unidade (No. W12-6-1800)
7RUTXHGHDSHUWRD1P
DNJP

aon
ODGRVGLUHLWRHHVITXHU

Precaugdes

Ferramentas especiais

Equipamento utilizado

298

Modelo

Qtde.

Modelo

Unidades

Guindaste: 50 t

1

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,359,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_359.png,"Informag6es adicionais

transporte terrestre)

Céd. de vendas: 7XC40 (tipo de embalagem para remessa por

Procedimento para Instalagao do suporte do capéddo motor

montagem em campo

(2)

No. 1810 (especificagadodo tipo de embalagem
remessa por transporte

para
terrestre)

Descricao da operagao:
Instale o suporte do capé do motor.

No. da pega
(1) | 42C-54-1611A
(2) | 42C-54-1612A
(3) |01011-82015
(4) | 424-975-1141
(5) | 566-54-12213

Denominagao da pega | Qtde. Condigao (numero da lista de pegas)
SUPORTE, ESQ. 1 Envio da unidade (No. W12-6-1810)

SUPORTE, DIR. 1 Envio da unidade (No. W12-6-1810)

PARAFUSO 10 | Instalado temporariamente no suporte
ARRUELA 20 | Instalado temporariamente no suporte
COXIM 20 | Instalado temporariamente no suporte
(6) | 566-54-21910 | BUCHA 10 | Instalado temporariamente no suporte
566-54-21920 | PLACA Instalado temporariamente no suporte

(8) | 01580-12016 PORCA Instalado temporariamente no suporte
42C-54-16130 | SUPORTE Envio da unidade (No. W12-6-1810)
42C-54-13230 | CALCO Envio da unidade (No. W12-6-1810)

(11) | 01010-81645 | PARAFUSO Instalado temporariamente nos suportes

(1) and (2)

Instalado temporariamente nos suportes
(12) | 01643-31645 (1) and (2)

Note
1. For adjustment procedure for engine
hood bracket shim, see No. 1820.

(3) Tightening torque:
490 to 608 Nm
(50 to 62 kgm)

(2)

Section A-A

Precaugdes Ferramentas especiais Equipamento utilizado
Modelo Qtde. Modelo Unidades
Guindaste: 50 t 1

299

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,360,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_360.png,"Informag6es adicionais
Céd. de vendas: 7XC40 (tipo de embalagem para remessa por
transporte terrestre)

Procedimento para
montagem em campo

No. 1820

Procedimento de ajuste do calgo do
suporte do _ cap6
do motor (especificagao do tipo de
embalagem _ para
remessa por transporte terrestre)

300

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,361,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_361.png,"$RPRQWDUPHoDDGLPHQVmRHDMXVWH
DGLPHQVmRHVSHELILFDGDFRPRFDOoR

psoup

Precaugdes

Ferramentas especiais

Equipamento utilizado

Modelo

Qtde.

Modelo Unidades

301

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,362,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_362.png,"Informag6es adicionais
Céd. de vendas: 7XC40 (tipo de embalagem para remessa por
transporte terrestre)

Procedimento para’ | “Fixagado da mangueira do_ar-condicionado

montagem em campo

(1)

No. 1850 (especificagdodo tipo de embalagem para

remessa por transporte terrestre)

pe * OXJDUHV

ss,
lo'n’e
> * :
\
. = a
t
2 gs
a a3 4 =>
= — & Py
e
6[HomRS$ 9LVW : ‘i A
No. da pega Denominagao da pega | Qtde. Condigao (numero da lista de pegas)
(1) | 22U-62-26260 GRAMPO 3 Instalado temporariamente na caixa da bateria
(2) | 01024-81016 PARAFUSO, SEMS. 3 Instalado temporariamente na caixa da bateria
(3) | 04434-52711 GRAMPO 2 Instalado temporariamente no suporte da plataforma
(4) | 07095-20419 COXIM 1 Instalado temporariamente no suporte da plataforma
(5) | 01024-81025 PARAFUSO, SEMS. 1 Instalado temporariamente no suporte da plataforma
Precaucgdes Ferramentas especiais Equipamento utilizado
Modelo Qtde. Modelo Unidades

302

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,363,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_363.png,"Informagées adicionais
Cod. de vendas: 7XC40 (tipo de embalagem para remessa por
transporte terrestre)

Procedimento para
montagem em campo

No. 2000

Instalagao da bomba_ de _lubrificagao
automatica com graxa

303

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,364,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_364.png,"No. da pega Denominagao da Condigao (numero da lista de pegas)
pega

| (1) | 42C-S95-184A Conj. da BOMBA Envio da unidade (No. W12-6-2000)

| (2) | 415-64-13130 COXIM Instalado temporariamente na tampa central do piso
| (3) | 421-62-18560 ESPACADOR Instalado temporariamente na tampa central do piso
(4) | 419-43-17930 COXIM Instalado temporariamente na tampa central do piso
| (6) [415-64-13120 [ARRUELA | 8 | Instalado temporariamente na tampa central do piso
Instalado temporariamente na tampa central do piso
Instalado temporariamente na tampa central do piso
Instalado temporariamente na tampa central do piso

Descrigao da operagao:
Instale a bomba de lubrificagao automatica com graxa

Precaugdes Ferramentas especiais Equipamento utilizado
Modelo Qtde. Modelo Unidades
Guindaste: 50 t 1

304
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,365,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_365.png,"Informag6es adicionais
Céd. de vendas: 6XH57A (lubrificagao automatica com graxa)

Procedimento para
montagem em campo

No. 2001

Instalagao da_ placa seguidora para
bomba_ de_ lubrificagao automatica
com graxa (tipo balde)

9LVWD=

305

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,366,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_366.png,"automatica com graxa.

Descrigao da operagao:

Instale a placa seguidora na bomba de lubrificagao

No. da pega Denominagao da pega

Condigaéo (numero da lista de pecas)

(1) | 42C-S95-1740_| PLACA SEGUIDORA

Envio da unidade (No. W12-6-2001)

(2) [01024-80616 | PARAFUSO, SEMS

Envio da unidade (No. W12-6-2001)

119

333.5

278

Parafuso tampao apdos remogao do
mandmetro fixado ao tanque de graxa

Precaucgdes

Ferramentas especiais

Equipamento utilizado

306

Modelo Qtde.

Modelo Unidades

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,367,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_367.png,"Informag6es adicionais Tipo de balde

Procedimento para
montagem em campo

Instalagao da bomba_ de _lubrificagao

automatica com graxa (especificagao da
No. 2005 central de_ servicos)

Descricao da operacao:

ae Condi¢ao (numero da lista de pecas)
[ (1) [42C-S95-381A |Conj.daBOMBA |__| Envio da unidade (No. W12-6-2005)

[ (2) | [415-64-13130 [Cox ss | 4 | Instalado temporariamente na tampa central do piso
| (3) [421-62-18560 |ESPAGADOR ss || 4_—i Instalado temporariamente na tampa central do piso
Instalado temporariamente na tampa central do piso
| (5) [415-64-13120 [ARRUELA ss || 8 Instalado temporariamente na tampa central do piso
01024-81050 PARAFUSO, SEMS 4 Instalado temporariamente na tampa central do piso

421-64-15110 | ESPACADOR

(7) (8)%: 2 lugares

Instale a bomba de lubrificagao
automatica com graxa

Precaugdes Ferramentas especiais Equipamento utilizado
Modelo Qtde. Modelo Unidades
Guindaste: 50 t 1

307
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,368,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_368.png,"Informag6es adicionais: Céd. de vendas: 6XH57A (lubrificagao
automatica com graxa) + 6XH65 (central de servicos), 6XH57A
(lubrificagao automatica com graxa) + PDI

Procedimento para
montagem em campo

No. 2020

Conexao e__—s fixagao da_ tubulagao da
bomba_ de_ lubrificagao automatica
com graxa

308

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,369,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_369.png,"; ii ""LDJUDPDGDKEXODomR
s Qs Z= |@REDERPEDGHOXEULILFD

Descrigao da operacao:
Conecte e fixe a tubulagao da bomba de lubrificagao
automatica com graxa

&RQHFWH
0 DQJXHLUD
&RQHFWH
0 DQJXHLUD
<a

&RQHFWHODQJXHLU

No. da pega Denominagao da pega _ | Qtde. Condigao (numero da lista de pegas)
(1) | 6150-51-9490 GRAMPO 2 Instalado temporariamente na bomba de graxa automatica
(2) | 07095-00314 COXIM 1 Instalado temporariamente na bomba de graxa automatica
(3) | 07095-00316 COXIM 1 Instalado temporariamente na bomba de graxa automatica
(4) | 01024-81020 PARAFUSO, SEMS. 1 Instalado temporariamente na bomba de graxa automatica
Precaucgdes Ferramentas especiais Equipamento utilizado
Modelo Qtde. Modelo Unidades

309
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,370,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_370.png,"Informagées adicionais
Cod. de vendas: 6XH57A (lubrificagao automatica com graxa)

montagem ein cameo Conexdo da__ tubulagao da bomba_ de
lubrificagdo automatica com graxa
No. 2025 (especificagadoda central de
servigos)

Descrigao da operacao:
Conecte a tubulagao da bomba de lubrificagao automatica com graxa.

Precaucgdes Ferramentas especiais Equipamento utilizado

Modelo Qtde. Modelo Unidades

310
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,371,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_371.png,"Informagées adicionais: Cod. de vendas: 6XH57A (lubrificagao
automatica com graxa) + 6XH65 (central de servicos), 6XH57A
(lubrificagao automatica com graxa) + PDI

Procedimento para
montagem em campo

No. 2030

Instalagao da tampa da bomba_ de
lubrificagdo automatica com graxa

311

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,372,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_372.png,"Descrigao da operacao:
Instale a tampa da bomba de lubrificagao automatica com graxa.

%* OXJDUH

|

6HomR:
No. da pega Denominagao da pega _ | Qtde. Condigao (numero da lista de pegas)
(1) | 42C-S95-1922 | Conj. da TAMPA. 1 Envio da unidade (No. W12-6-2050)
(2) | 01024-81025 PARAFUSO, SEMS 6 Nstalado temporariamente na tampa central do piso
Precaucgdes Ferramentas especiais Equipamento utilizado

Modelo

Qtde.

Modelo

Unidades

312
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,373,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_373.png,"Guindaste: 50 t

Informag6es adicionais

Céd. de vendas: 6XH57A (lubrificagao automatica com graxa)

Procedimento para

No. 2035

Descrigao da operacao:

montagem em campo Instalagao da

tampa da bomba_ de
lubrificagdo automatica com graxa

(Especificagao PDI)

Instale a tampa da bomba de lubrificagao au

lomatica com graxa.
No. da pega Denominagao da pega | Qtde. Condigao (numero da lista de pecgas)
(1) | 42C-S95-1931 | Conj. SUB DA TAMPA 1 Envio da unidade (No. W12-6-2035)
Instalado temporariamente na tampa central
(2) | 01024-81025 PARAFUSO, SEMS. 6 | do piso

Precaugdes

Ferramentas especiais Equipamento utilizado

Modelo Qtde. Modelo Unidades

Guindaste: 50 t 1

313
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,374,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_374.png,"Informag6es adicionais
Céd. de vendas: 6XH57A (lubrificagao automatica com graxa)

Procedimento para
montagem em campo

No. 2040

Instalagao do pressostato da bomba
lubrificagao automatica com graxa

de

314

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,375,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_375.png,"Descrigao da operacao:

Instale o pressostato da bomba de lubrificagao automatica com graxa.

No. da pega Denominagao da pega Qtde. Condigao (numero da lista de pegas)
(1) - CONJUNTO DO INTERRUPTOR, 1 Instalado temporariamente no conjunto da bomba de lubrificagao automatica com graxa.
(2) | 01024-80816 | PARAFUSO, SEMS. 4 Instalado temporariamente na tampa do piso central

‘LUHLW

QRVORFDLVPDUFDGRVS§

Precaucgdes

Ferramentas especiais

Equipamento utilizado

Modelo

Qtde. Modelo

Unidades

315

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,376,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_376.png,"Informag6es adicionais
Céd. de vendas: 6XH57A (lubrificagao automatica com graxa)

Procedimento para

montagememcampo | Conexdo e_ fixagéo do chicote da bomba

No. 2050 de _ lubrificagdo automatica com graxa
Descrigao da operagao: ol} Fae
Conecte e fixe 0 chicote da bomba de lubrificagao automatica com graxa. Dy, < ™~

&RQHFWH&17,0 &RQHFWH&15(

ir ® | Jaraurw
F 815

5 |
&RQHFWH&1*5:
SSS a

Precaucgdes Ferramentas especiais Equipamento utilizado

Modelo Qtde. Modelo Unidades

316
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,377,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_377.png,"Informag6es adicionais
Céd. de vendas: 6XH57A (lubrificagao automatica com graxa)

Procedimento para
montagem em campo

No. 2055

Conexao e fixagao do chicote da bomba
de_ lubrificagdo automatica com graxa
(central de
servicgos/Especificagao PDI)

317

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,378,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_378.png,"Descri¢ao da operagao:

Conecte e fixe 0 chicote da bomba de lubrificagao automatica com graxa.

_

HUWHDRPHVPRWHP:

Precaucgdes

Ferramentas especiais

Equipamento utilizado

318

Modelo

Qtde.

Modelo Unidades

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,379,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_379.png,"Informagées adicionais

Cod. de vendas: 6XH57A (lubrificagao automatica com graxa) + 6XH65
(central de servicgos), 6XH57A (lubrificagao automatica com graxa) + PDI

Procedimento para
montagem em campo

No. 2060

Fixagao da

tubulagao
lubrificagao

automatica

de
(1)

da bomba
com graxa

we

Descricgao da operagao:

Fixe a tubulagao da bomba de lubrificagao automatica com graxa.

No. da peca_| Denominagao da pega

Condigao (numero da lista de pegas)

PLACA
PARAFUSO, SEMS
BRACADEIRA

(1) | 561-44-87760
(2) [01024-81030
(3) [07094-10315
(4) [07095-00316
(5) [01580-11210
(6) | 01643-31232
(7) | 01024-81270

PARAFUSO, SEMS

|

COXIM
PORCA
ARRUELA

Instalado temporariamente no suporte da plataforma

Instalado temporariamente no suporte da plataforma
instalado temporariamente no suporte da plataforma

nN

Instalado temporariamente no suporte da plataforma

instalado temporariamente no suporte da plataforma

instalado temporariamente no suporte da plataforma

instalado temporariamente no suporte da plataforma

(8) }| 07094-30315 | BRACADEIRA

instalado temporariamente no suporte da plataforma

(9) | 07095-00317

COXIM

instalado temporariamente no suporte da plataforma

(10) | 01024-81265 | PARAFUSO, SEMS

ajalr]a

instalado temporariamente no suporte da plataforma

Precaugdes

Ferramentas especiais

Equipamento utilizado

Modelo

Qtde. Modelo Unidades

319
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,380,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_380.png,"Informag6es adicionais
Céd. de vendas: 6XH57A (lubrificagao automatica com graxa)

Procedimento para

montagem em campo Fixagao da_ tubulagao da bomba_ de
No. 2070 lubrificagado automatica com graxa (2)

320
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,381,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_381.png,"Descrigdo da operagao:

Fixe a tubulagao da bomba de lubrificagao automatica com graxa.
|__| e.ceseee_| Devoniagto ts pore Jove Condigao (numero da lista de pegas)
6166-11-8871 | PLACA Instalado temporariamente no piso central
01024-81030 | PARAFUSO, SEMS Instalado temporariamente no piso central
07094-30315 | BRAGADEIRA Instalado temporariamente no piso central
07095-00317 | COXIM Instalado lemporariamente no piso central

01024-81020 | PARAFUSO, SEMS Instalado temporariamente no piso central, estrutura do piso

4d 3
(3) (4) (5) (6) (7) 4 : 3 lugares
Vista Z

Diagrama da tubulagao
(Sob a bomba de
lubrificagao automatica
com graxa)

Precaucgdes Ferramentas especiais Equipamento utilizado

Modelo Qtde. Modelo Unidades

321
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,382,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_382.png,"Informag6es adicionais
Cod. de vendas: 6XH57A (lubrificagao automatica com graxa)

Procedimento para | Conexdoe —fixagdo da_ tubulacgdo da

montagem em campo
caixa de__respiro
No. 2080 (Especificagao PDI)

Descricao da operacgao:
Conecte e fixe a tubulagao na caixa de respiro.

Condigao (ntimero da lista de pegas)
Instalado temporariamente na tampa do piso central e suporte do piso
Instalado temporariamente na tampa do piso central e suporte do piso
Instalado temporariamente na tampa do piso central

Denominagao da pega | Qtde.
GRAMPO [6
COXIM [ 6
| (3) [01024-81030 | PARAFUSO,SEMS | 3

(4) | 01580-11008 | PORCA Instalado temporariamene na tampa do piso central
Let [eraocarae [PaRAPGGO SEN —[ 1 [noes oreranorae sar dsp]
[16 [oro2e-01220 [PARAFUSO, SEMS | 2 | nstalado temporariamente no syporte do pao _———*d

| No. da pega
| (1) | 04434-52512
| (2) [07095-20318

Precaugdes Ferramentas especiais Equipamento utilizado

Model o Qtde. Modelo Unidades

322
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,383,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_383.png,"Informagées adicionais

Procedimento para
montagem em campo

No. 2090

Instalagao do conjunto do anteparo
(especificagaodo tipo de embalagem
para remessa por transporte
terrestre)

323

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,384,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_384.png,"Instale o conjunto do anteparo.

Descrigao da operagao:

No. da pega Denominagao da pega _| Qtde. Condigaéo (numero da lista de pecas)
(1) | 42C-54-1101A conNO DO 1 Envio da unidade (No. W12-6-2090)
(2)| 01010-81435 | PARAFUSO 6 Instalado temporariamente no suporte do cap6 do
motor
(3) | 01643-31445 | ARRUELA 6 Instalado temporariamente no suporte do cap6 do
motor

* OXJDUHV
%*& OXJDUHV

9LVVE
YLVWDHP
FRUW

Precaugdes

Ferramentas especiais

Equipamento utilizado

324

Modelo Qtde.

Modelo

Unidades

Guindaste: 50 t

1

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,385,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_385.png,"Informagées adicionais
Cod. de vendas: 7XC40 (tipo de embalagem para remessa por transporte

terrestre)
Procedimento para Conexao da tubulagao do _filtrodo
montagem em campo
anteparo
No. 2095 (especificagadodo tipo de embalagem para

remessa por transporte terrestre)

Descrigao da operagao:
Conecte a tubulagao do fil

ro do anteparo. 74

ce

* Ao conectar uma mangueira, verifique o anel “O”. =

¢ AEN
SS ee

5 HPRYDDVSHoDVGHYHGDomRG
QHFWHL2 4)
St 5
Precaucgdes Ferramentas especiais Equipamento utilizado
Modelo Qtde. Modelo Unidades

325
"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,386,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_386.png,"Informag6es adicionais
Céd. de vendas: 7XC40 (tipo de embalagem para remessa por
transporte terrestre).

Procedimento para
montagem em campo

No. 2097

Fixagao do anteparo (especificagaodo tipo de
embalagem pararemessa por transporte
terrestre)

326

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,387,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_387.png,"Descrigao da operagao:
Fixe o anteparo.

No. da pega Denominagao da peca Qtde. Condigao (numero da lista de pegas)
(1) | 427-54-21740 ESPACGADOR 6 | Instalado temporariamente no anteparo
(2) | 427-54-21730 COXIM 6 | Instalado temporariamente no anteparo
(3) | 427-54-21720 COXIM 12 | Instalado temporariamente no anteparo
(4) | 419-43-17920 ARRUELA 12 | Instalado temporariamente no anteparo
(5) | 01024-81250 PARAFUSO, SEMS. 6 | Instalado temporariamente no anteparo
Precaucgdes Ferramentas especiais Equipamento utilizado

Modelo

Qtde.

Modelo

Unidades

327

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,388,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_388.png,"Informag6es adicionais
Cod. de vendas: 7XC40 (tipo de embalagem para remessa por
transporte terrestre)

Procedimento para
montagem em campo

No. 2100

nstalagao

do dutono’ conjunto do

anteparo

Descrigao da operagao:

Instale o duto no conjunto do anteparo.

No. da peca

Denominagao da pega

Qtde.

Condigao (numero da lista de pegas)

(1) | 42C-01-1458A | DUTO, ESQ.

1

Envio da unidade (No. W12-6-2100)

(2) | 42C-01-1459A | DUTO, DIR.

1

Envio da unidade (No. W12-6-2100)

(3) | 01024-D1225

PARAFUSO, SEMS

Instalado temporariamente no conjunto
do anteparo

&RQHFW
7 RUTXHGHDSHUWRP

0 $1*8(,5$

Equipamento utilizado

328

duto do filtro de ar do lado do motor.

Precaugdes Ferramentas especiais
Tenha cuidado para nao permitir que Agua e Modelo Qtde. Modelo Unidades
materiais estranhos entrem na parte de insergao do :
Guindaste: 50 t 1

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,389,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_389.png,"Informagées adicionais

Procedimento para
montagem em campo

No. 2110

Instalagao

do conjunto do __ purificador

ar

(A)

de

329

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,390,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_390.png,"Descrigao da operacao:
Instale o conjunto do purificador de ar.

No. da pega Denominagao da pega

Qtde. Condigao (numero da lista de pegas)

G

6240-81-740A | Conj. do PURIFICADOR DE AR

1 Envio da unidade (No. W12-6-2110)

(2)

01024-D1235 | PARAFUSO, SEMS

6 Instalado temporariamente no conjunto do anteparo

Precaugdes

Ferramentas especiais

Equipamento utilizado

Modelo Qtde.

Modelo

Unidades

Guindaste: 50 t

1

330

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,391,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_391.png,"Informag6es adicionais

Procedimento para

montagem em campo Instalagdo

No. 2120

do conjunto do __ purificador

ar

(B)

de

Descrigao da operacao:
Instale o conjunto do purificador de ar.

No. da pega Denominagao da pega

Qtde. Condigao (numero da lista de pegas)

(a

6240-81-740B | Conj. do PURIFICADOR DE AR 1 | Envio da unidade (No. W12-6-2120)

(2

01024-D1235 | PARAFUSO, SEMS

6 Instalado temporariamente no conjunto do anteparo

Precaugdes

Ferramentas especiais

Equipamento utilizado

Modelo

Qtde.

Modelo

Unidades

331

"
Montagem em campo WA1200-6 CARREGADEIRA DE RODAS.pdf,392,Montagem em campo WA1200-6 CARREGADEIRA DE RODAS_pagina_392.png,"Guindaste: 50 t

Informagées adicionais

Procedimento para
montagem em campo

No. 2130

Instalagao

do conjunto do __ purificador

ar

(C)

de

332

"
